RESULT_COUNT: 2411,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-03-30,3.75,3.8,3.75,3.8,143059.0,0.0,1.0,3.75,3.8,3.75,3.8,143059.0
2017-03-29,3.75,3.8,3.75,3.8,94520.0,0.0,1.0,3.75,3.8,3.75,3.8,94520.0
2017-03-28,3.8,3.9,3.75,3.75,168199.0,0.0,1.0,3.8,3.9,3.75,3.75,168199.0
2017-03-27,3.85,3.85,3.75,3.75,107297.0,0.0,1.0,3.85,3.85,3.75,3.75,107297.0
2017-03-24,3.75,3.85,3.75,3.85,252733.0,0.0,1.0,3.75,3.85,3.75,3.85,252733.0
2017-03-23,3.7,3.75,3.7,3.7,147730.0,0.0,1.0,3.7,3.75,3.7,3.7,147730.0
2017-03-22,3.6,3.75,3.55,3.65,194230.0,0.0,1.0,3.6,3.75,3.55,3.65,194230.0
2017-03-21,3.6,3.75,3.55,3.65,279327.0,0.0,1.0,3.6,3.75,3.55,3.65,279327.0
2017-03-20,3.8,3.8,3.6,3.6,395180.0,0.0,1.0,3.8,3.8,3.6,3.6,395180.0
2017-03-17,3.75,3.87,3.65,3.85,441946.0,0.0,1.0,3.75,3.87,3.65,3.85,441946.0
2017-03-16,3.95,3.956,3.649,3.7,644792.0,0.0,1.0,3.95,3.956,3.649,3.7,644792.0
2017-03-15,4.05,4.15,4.0,4.05,197723.0,0.0,1.0,4.05,4.15,4.0,4.05,197723.0
2017-03-14,4.1,4.1,4.0,4.05,513235.0,0.0,1.0,4.1,4.1,4.0,4.05,513235.0
2017-03-13,4.3,4.35,4.3,4.35,232302.0,0.0,1.0,4.3,4.35,4.3,4.35,232302.0
2017-03-10,4.15,4.25,4.15,4.25,443331.0,0.0,1.0,4.15,4.25,4.15,4.25,443331.0
2017-03-09,4.0,4.1,4.0,4.05,136541.0,0.0,1.0,4.0,4.1,4.0,4.05,136541.0
2017-03-08,4.0,4.1,4.0,4.05,154627.0,0.0,1.0,4.0,4.1,4.0,4.05,154627.0
2017-03-07,4.15,4.15,4.0,4.0,119016.0,0.0,1.0,4.15,4.15,4.0,4.0,119016.0
2017-03-06,4.15,4.199,4.0499,4.15,154821.0,0.0,1.0,4.15,4.199,4.0499,4.15,154821.0
2017-03-03,4.15,4.2,4.15,4.2,158289.0,0.0,1.0,4.15,4.2,4.15,4.2,158289.0
2017-03-02,4.05,4.15,4.05,4.15,97447.0,0.0,1.0,4.05,4.15,4.05,4.15,97447.0
2017-03-01,4.1,4.11,4.05,4.05,144277.0,0.0,1.0,4.1,4.11,4.05,4.05,144277.0
2017-02-28,4.0,4.1,4.0,4.1,215955.0,0.0,1.0,4.0,4.1,4.0,4.1,215955.0
2017-02-27,4.05,4.1,4.0,4.0,175958.0,0.0,1.0,4.05,4.1,4.0,4.0,175958.0
2017-02-24,4.1,4.15,4.05,4.15,156776.0,0.0,1.0,4.1,4.15,4.05,4.15,156776.0
2017-02-23,4.2,4.225,4.1,4.15,157888.0,0.0,1.0,4.2,4.225,4.1,4.15,157888.0
2017-02-22,4.1,4.25,4.1,4.25,159414.0,0.0,1.0,4.1,4.25,4.1,4.25,159414.0
2017-02-21,4.1,4.25,4.1,4.1,179139.0,0.0,1.0,4.1,4.25,4.1,4.1,179139.0
2017-02-17,4.15,4.204,4.1,4.15,134087.0,0.0,1.0,4.15,4.204,4.1,4.15,134087.0
2017-02-16,4.15,4.5,4.15,4.25,240651.0,0.0,1.0,4.15,4.5,4.15,4.25,240651.0
2017-02-15,4.15,4.25,4.15,4.25,157155.0,0.0,1.0,4.15,4.25,4.15,4.25,157155.0
2017-02-14,4.25,4.3,4.05,4.1,198916.0,0.0,1.0,4.25,4.3,4.05,4.1,198916.0
2017-02-13,4.1,4.35,4.05,4.25,344566.0,0.0,1.0,4.1,4.35,4.05,4.25,344566.0
2017-02-10,3.95,4.1,3.95,4.075,203790.0,0.0,1.0,3.95,4.1,3.95,4.075,203790.0
2017-02-09,4.05,4.0999,4.0,4.0,215564.0,0.0,1.0,4.05,4.0999,4.0,4.0,215564.0
2017-02-08,4.15,4.15,4.05,4.1,241212.0,0.0,1.0,4.15,4.15,4.05,4.1,241212.0
