RESULT_COUNT: 10245,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 2,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-02-24,113.9,114.03,113.49,113.77,179977.0,0.0,1.0,113.9,114.03,113.49,113.77,179977.0
2017-02-23,114.68,114.89,114.38,114.59,181617.0,0.0,1.0,114.68,114.89,114.38,114.59,181617.0
2017-02-22,114.21,114.45,114.07,114.4,187051.0,0.0,1.0,114.21,114.45,114.07,114.4,187051.0
2017-02-21,114.08,114.59,113.82,114.3,269484.0,0.0,1.0,114.08,114.59,113.82,114.3,269484.0
2017-02-17,112.49,113.7,112.34,113.7,240406.0,0.0,1.0,112.49,113.7,112.34,113.7,240406.0
2017-02-16,113.2,113.61,113.09,113.35,196083.0,0.0,1.0,113.2,113.61,113.09,113.35,196083.0
2017-02-15,113.72,113.72,113.32,113.61,189113.0,0.0,1.0,113.72,113.72,113.32,113.61,189113.0
2017-02-14,114.34,114.49,113.76,114.47,231936.0,0.0,1.0,114.34,114.49,113.76,114.47,231936.0
2017-02-13,114.07,114.5,113.89,114.13,414093.0,0.0,1.0,114.07,114.5,113.89,114.13,414093.0
2017-02-10,112.55,113.145,112.5,112.89,376916.0,0.0,1.0,112.55,113.145,112.5,112.89,376916.0
2017-02-09,111.81,111.99,111.12,111.92,445405.0,0.0,1.0,111.81,111.99,111.12,111.92,445405.0
2017-02-08,113.34,113.41,112.87,113.27,249168.0,0.0,1.0,113.34,113.41,112.87,113.27,249168.0
2017-02-07,113.5,113.52,112.73,113.04,344364.0,0.0,1.0,113.5,113.52,112.73,113.04,344364.0
2017-02-06,114.2,114.48,112.75,113.31,437925.0,0.0,1.0,114.2,114.48,112.75,113.31,437925.0
2017-02-03,114.7,115.46,114.69,115.12,187540.0,0.0,1.0,114.7,115.46,114.69,115.12,187540.0
2017-02-02,114.7,114.76,113.97,114.53,248818.0,0.0,1.0,114.7,114.76,113.97,114.53,248818.0
2017-02-01,115.84,116.15,115.04,115.26,324205.0,0.0,1.0,115.84,116.15,115.04,115.26,324205.0
2017-01-31,116.21,116.37,115.07,115.75,318979.0,0.0,1.0,116.21,116.37,115.07,115.75,318979.0
2017-01-30,116.36,116.58,115.5533,116.07,159201.0,0.0,1.0,116.36,116.58,115.5533,116.07,159201.0
2017-01-27,117.09,117.09,116.5,116.69,196725.0,0.0,1.0,117.09,117.09,116.5,116.69,196725.0
2017-01-26,119.43,119.99,118.96,118.98,182434.0,0.0,1.0,119.43,119.99,118.96,118.98,182434.0
